organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
wi1we3OlD7A,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,25221,,,2,,6
RU75jjHO1TV,Comboni Missionary Sisters Health Program,18745,,,2,,17
h90pFNjfJ14,Consolata Hospital Gitoro,12044,,,1,,12
amP1kWytNm2,Consolata Kyeni Hospital,12413,,,1,,10
Aqw6Dbpsjk6,Consolata Mission Hospital (Mathari),10100,,,,,11
fMexRJbQRAw,Consolata Mission Hospital Nkubu,11976,,,1,,26
LtGa9hWTpLy,Coptic Hospital,12905,,,,,57
izA6A7pqMPN,Coptic Medical Clinic,12904,,,2,,8
oic5beVUm72,Coptic Nursing Home,15862,,,,,16
Ypk9c7u9k0F,Corner Medical Clinic,16537,,,,,1
QWZ7Qd8Jex1,Cornestone Baptist Clinic,18119,,,,,2
fMMxisqLyA8,Cottolengo Mission Hospital,11977,,,2,,21
hSKpgCPZYm2,D Comboni Mission,11981,,,,,1
vzn9TIgroz5,Dadaab Sub-County Hospital,13316,,,,,1
eqnv3W3wuKp,Dagamra Dispensary,11297,,,,,2
IDDFhT4VRj1,Dago Jonyo Dispensary,20377,Dispensary,,1,,3
Al6DGyCfZfo,Dago Kokore Health Centre,22806,,,,1,1
UtipAc6rtV6,Dagoretti Sub-County Hospital Mutuini,13105,,,5,,16
NXlTHAroEmk,Dallas Health Centre,11984,,,,,3
VXB1OhGKsDR,Dandelion Medical Center Kilimanjaro,30619,,,,,4
VV18KDaWASs,Dandelion Medical Centre,23952,dispensary,,,,3
FXzBJIjcAZ5,Dandora (EDARP) Clinic,12911,,,1,,15
zQh2n2JcWtl,Dandora I Health Centre,12913,,,4,,16
DBROL4dIIzA,Dandora II Health Centre,12912,,2,8,,27
AIYatK2Im6m,Dandora Medical Centre,18220,,,,,3
H5zz9GfirZg,Danlink Health Care,24397,,,,,2
sgwSyE1poux,Daraja Mungu Dispensary,29687,,,,,2
WG7O02P8x4T,Dede Health Centre,13532,,,,,8
uPXIcOKAbIW,Deliverence Church Kasarani Medical Clinic(Zimmerman),12906,,,,,1
g33R8TblbUU,Diana Medical Clinic,10108,,,,,2
JF0Lzx4ECtB,Diani Beach Hospital,,A long Beach RD,,,,3
uhuTgMdpGDx,Diani Health Centre,11304,,,2,,13
tAKPrTA5jzk,DICE Clinic Karungu,19929,,,,,1
WwYfrsmafhY,DICE Clinic Muhuru,19930,,,,,9
LnVFx00BhRw,Dice icl bomet,24618,,,,,15
J6Oi0at1FwL,Dice Kisii Youth Wellness Centre,31601,,,,,1
yjW8519Mkn2,Dienya Health Centre,13533,,,1,,6
WP7J5im3gDh,Difathas Health Centre,10110,Difthas market-off Kimbimbi/Nairobi/Embu highway,,,,4
eOulYjhT2a0,Digirikani Health Care,26733,,,,,2
gFUoa0GmAlZ,Dima Mwangaza Clinic,21989,,,,,1
LYR8fhhFOaQ,Diruma Dispensary,16268,,,,,3
H2T8SxOU1zP,Disciples of Mercy Clinic,13534,,,1,,11
p7wCM1JfI5d,Divine Mercy Aluor Health Centre,13473,,,2,,5
Rre94o5TeOh,Divine Mercy Eldoro (Catholic) Dispensary,11365,,,,,1
grOVPMUrDNJ,Divine Mercy Kithatu Dispensary,12351,,,1,,2
Lr3cD5NsM82,Doctors Worldwide Tembo Medical Centre,21174,,,,,1
g8HWDfoqKdZ,Dog Unit Dispensary (O P Kenya Police),12919,,,,,1
iQqQPaktVMP,Dolphil Nursing & Maternity Home,13535,,,,,5
l8MVSsObGLy,Don Bosco Catholic Dispensary,10112,,,,,8
rEvhUeeIBNg,Donyo Sabuk Dispensary,16432,,,,,2
IT7tfsvzcMP,Donyo Sabuk Nursing Home,11988,,,1,,1
rGgw3l0bHEI,Dreams Center Dispensary,12929,,,,,17
yEgTXDKNOGK,Drop In Service Centre,20059,,,,,5
x2ByD5QP18B,Dundori Health Centre,14424,,,4,,7
J2TPkQU0gGJ,Dunga GOK Dispensary,22064,New GOK Dispensary,,,,1
edVT1j1E1yC,Dungicha Dispensary,19024,,,,,1
HWKmcSTRCuv,Dzikunze Dispensary,11359,Kilifi- Matano mane Dzikunze road near Dzikunze shopping centre,,,,2
IFAiMjg74bu,Dzitsoni Medical Clinic,11360,,,,,2
y66tzv9tspm,Eagle Health Care,21146,"Medical Clinic  Located at Palace Building 3RD floor OPP Co-op Bank,Kangemi",,,,3
FpYNpPZwGHO,Eagle Health Clinic,19542,,,,,2
OkCML3CEtNi,Eastleigh Health Centre,12930,,,,,11
BZMobPU9PBn,Ebenezer Dispensary,11994,,,,,1
qS4uqSFF9dW,Ebenezer Medical Clinic (Malindi),11362,,,1,,9
myj906QbZw3,Eberege Health Centre,13536,Level 3,,1,,3
Ky6P5BmX0sQ,Ebuhala Health Centre,20515,,,2,,7
EG1SVurEMgh,Ebukoolo Dispensary,17113,,,2,,2
DkaJxv6rD7c,Eburi Dispensary,16975,,,,,1
ffIfsLKrhKK,Eburru Dispensary,14425,,,,,3
t8pVCEXnij3,Ebusiratsi Health Centre,15866,,1,1,,8
QiAHGmf0031,Ebusyubi Dispensary,15867,,,,,4
hVTJp5M0cGz,EDARP Donholm Clinic,13220,,,2,,31
u0gDQ38iF5S,EDARP Huruma Clinic,12973,,,3,,14
r13EdOxFc92,EDARP Komarock Health Centre,17719,,,2,,19
RVQtRwy75Wt,EDARP Soweto Health Centre,13191,Off Masimba Stage Towards Soweto Market,,9,,29
ab11bPaCfQe,Edna Maternity,12934,,,,,1
Sbo33DobMUY,Egerton University,14426,,,,,1
aX8cPPj4Djf,Egetonto Health Centre,13538,,,,,2
PqsRn07KCKv,Ekalakala Health Centre,11995,,,1,1,6
W1S8ml7ActI,Ekambuli Health Centre,20673,,,,,1
hYlQ9bF0BNY,Ekerenyo Sub-District Hospital,13540,,,1,,20
o2cCZrctDcB,Ekerubo Dispensary,16422,,,1,,3
Y2yFkbKm7zR,Ekerubo Health Centre (Masaba South),13541,,,,,2
yhwoQXYfogS,Ekitale Dispensary,15869,,,2,,4
KvcLdBE3Qar,Ekwanda Health Centre,15870,,5,4,,10
BDzpSSvbltL,Elburgon Maternity and Nursing Home,14430,,,,,3
agm4CQgIwuf,Elburgon Sub County Hospital,14431,,,4,,12
nvSVIH9Vnhg,Elgon View Medical Cottage,15871,,,2,,7
hWY1PyjFy2x,Elias Medical Clinic,20664,,,,,1
TPAZOeKMtZG,Elox Medical Centre,26619,,,,,1
iWFObHTUbzT,Eluche Dispensary,18361,,,,,1
pZd75ZZ55tI,Elukhambi Dispensary,15872,,,,,1
rD34qFui1sH,Elwakana Dispensary,22668,,,3,,3
PMtDVZGDXRv,Elwangale Health Centre,16714,,,1,,3
sKHkoTOfodh,Elwasambi Dispensary,15873,,,,,2
fVYB9g9ByWU,Elwesero Model Health Centre,15874,,,5,1,13
Lbsm3keaoKp,Emali Sub County Hospital,18260,,,3,,15
dElavXVwO7j,Emaroro Dispensary,14441,,,,,1
nqYAmS9DORu,Emarti Health Centre,14442,,,,,5
FGkaUMhNlgb,Ematiha Dispensary,16867,dispensary,,1,,6
RILlb5RVEkC,Ematsuli Dispensary,15875,,,,,3
fqT44AXXEda,Embakasi Health Centre,12935,,1,7,,24
ZOaUu43IquR,Embomos Dispensary,18073,,,1,,1
wvzZZaYO0Fm,Embonga Health Centre,13543,,,,,1
f86fLjqgs9c,Embu Drop In Centre (DICE),21117,,,,,3
ubYSAHlGbvb,Embu Level 5 Hospital,12004,,1,2,,18
WrPccSa6unz,Embulbul Catholic Dispensary,14445,Dispensary,,1,,16
MKUwyQVh8df,Emeroka Dispensary,17272,,,1,,1
OvL7GM8rL9p,Emmanuel Community Health Clinic,17574,,,,,1
H8IRuq63RFl,Emmanuel Mission Health Centre (Bungoma East),16707,,1,,,1
rGIiGfPUc5P,Emukaba Dispensary,20039,Kakamega malava route turn left after Bishopstam to emukaba market,,2,,4
AvTfwNGesNk,Emumwenyi Dispensary,14450,,,,,1
uShUZhhFGa4,Emung'abo Dispensary,25506,,,,,1
eMNKy1TqKrE,Emurua Dikir Dispensary,14451,,,1,,
KI0xDaiHbXY,Emurua Dikirr   Sub county Hospital,14452,,,1,,3
DkcS7mBduV7,Emusanda Health Centre,16762,,,1,,4
bdcsVP2hS8A,Emusire Sub County Hospital,16979,,2,1,,5
PnwtJbax3ac,Enabelbel Health Centre,14453,along Narok Nakuru road,,2,,10
hdwFJUINaeF,Endarasha Medical Clinic,19730,,,,,2
I4AiM5QGOvq,Endarasha Rural Health Centre,10170,,,1,,5
wDMlEPzlByw,Endau Dispensary,12008,,,,,2
CwoN2my0ByS,Endebess Sub- County Hospital,14455,,1,1,,17
nDjLPbxyZeo,Endei Dispensary,12009,,,,,1
ZQT01wKQqiS,Endiba Health Centre,13544,,,,,3
Q3p0yDL2X5B,Endoinyo Narasha Dispensary,17746,,,,,1
UzyDMLPCc1K,Engashura Health Centre,14458,,,1,,5
fS76SN2mDYs,Engineer County Hospital,10171,,,,,6
pVsn7nkMvBE,Engos Health Centre Africa Mission Services,17910,,,2,,9
m4InoppF0BB,Enkaroni Dispensary,29361,,,,,4
bgHmebHsAK1,Enkoireroi Dispensary,25250,,,,,1
d96sBCgxXJv,Enkorika Health Centre,14463,,,1,,6
s4k4wYOsVLa,Enoosaen Health Centre,14465,,,2,1,21
iSy25qMJVuC,Enooseyia Dispensary,21130,,,1,,
g2rsmbgrpOJ,Ensakia Dispensary,17730,,,,,1
EXKcBdOos7W,Entanda Health Centre,13545,,1,,,2
coUfCZcj3eN,Entanke Dispensary,16424,,,1,,1
iOaejculBnN,Entarara Health Centre,14467,,,,,2
ugnMZzMKZdT,Entargerti Dispensary,17320,,,,,1
zB3p8XXnfaC,Entasekera Health Centre,14479,,,,,3
lC6sEfdURfO,Entasopia Health Centre,14469,,,,1,3
g5JRuqxhV3g,Entiyani Dispensary,14470,,,,,1
vd6duJcAST9,Enturoto Community Medical Clinic,26650,,,,,2
TebstKvirIl,Enzaro Health Centre,15879,OFF BOYANI- KIGADAHI JUNCTION,,,,3
xYuGcMwDgLT,Eor-Ekule Health centre,29585,,,2,,5
d2SfPpNKuYL,EPANG'A HEALTH CENTRE,29133,,,1,,
AoLY14VRdeI,Equity Afia Kasarani Medical Centre,28361,,,,,1
XeaXctQcNwN,Equity Afia Medical Centre,25773,,,,,1
u81Ziyj36Xl,Equity Afia Medical Centre Emali,31258,,,,,1
eprOiqS7R4C,Equity Afya Medical Centre Machakos,29478,,,,,1
Ua0To7GPLd5,Equity Afya Medical Clinic Ngong,27063,,,,,1
YFxkxX3dyJ0,Esani Sub-County  Hospital,13548,,,2,,6
WKpi4HTOfa6,Eshiabwali Health Centre,19899,,,,,1
b0dYs7Od6bO,Eshibembe Health Centre,24686,,,,,1
e5jvA8P3nmJ,Eshibinga Health Centre,21788,operational,,1,,1
pAjKlmU1EzO,Eshikalame Dispensary,20679,,,1,,1
rEKNga4CgFK,Eshikhuyu Dispensary,15882,,,,,3
hVOEvLLuWx6,Eshimukoko Health Centre,16114,,1,,,2
dAnPb1AZoKy,Eshinutsa Health Centre,16115,,,,,4
hUDoz9oxecE,Eshiongo Dispensary,15883,,,1,,5
IBvuTu4Q05K,Eshirembe Dispensary,17133,,,,,1
a9OHUtkxjO8,Eshu Dispensary,11368,,,1,,1
z1cwlRDg4i1,Esianyi Dispensary,13549,,,,,3
fs0p5MurBkl,Esiarambatsi Health Centre,15885,,,1,,4
HrHLibwIUXR,Esidende Dispensary,26227,,,1,,1
kH3yXjFQi6C,Esikulu Dispensary,20171,,,1,,2
C5KZymXADHN,Esirulo Dispensary,25340,,,,,1
U5I4KH0Th5P,Essaba Dispensary,25286,,,,,2
eRPHPaOmHQp,Esther Memorial Nursing Home,14478,,,,,1
FHYf7mQFpOT,Etago Sub-county Hospital,13550,,,2,,3
LzqV6rYc2RC,Ethi Dispensary,14480,,,1,,2
d9MqCk2B3Gs,Etono Health Centre,13551,,,,,3
dkMWcCOqmT0,Eurocity Medical Clinic,28389,,,,,3
wsx3VZHUNTl,Ewaso Ngiro Dispensary,14484,,,,1,4
u5q6JCLA4SL,Ewaso Ngiro Health Centre,14485,,,,,6
xxV4wmw5vPj,Ewuaso Kedong Health Centre,14486,,,2,,11
Dom2cnK42ML,Fairview Medical Clinic,22977,FROM MASIMBA TO SOWETO,,,,3
EQFa2Y10UIg,Faith Health Care,14316,,,,,2
gK6ECHdUjtK,Faith Medical Clinic (Busia),24101,Medical clinic,,,,3
gMmgEY1hq3W,Faith Nursing Home (Ikutha),12013,,,,,2
u4P8zegMd6d,Family Health Options Kenya Clinic,16756,,,,,1
NUjabhQBdG4,Fanaka Medical Centre,18155,,,,,25
j1cuuNQ8Ij7,Fatima Maternity Hospital,14494,,,1,,10
AvvVb7CdBbu,Favour Medical services,20857,,,,,1
IqxpJrVL9lX,FGCK Medical Centre,16392,,,,,3
dGGuPEx55Jl,FHOK - Family Care Medical Centre - Nakuru,14177,,,,,2
HMReQ0i4UrP,Fina Medical Nursing Home,23609,,,,,2
DYuzChvbSKX,Firenze Nursing Home,24462,,1,,,
obZQ6vqwYzN,Fitc Dispensary,14498,,,3,,8
BlfBnS88vK8,Flamingo Medical Centre,14551,,,1,,11
MtvI67Ygn7d,Focus Clinical and Diagnostic Centre Limited Embu,23827,Medical Clinic,,,,1
Q9N0D3AoEOJ,Forttenan Sub County Hospital,14501,,,2,1,4
SHmS4JDGpA7,Fountain Healthcare Limited (Bungoma),22652,"Along Bungoma-Mumias Road,Behind G4S offices",,1,,2
ye4fzfF4kAx,Fountain Medical Clinic,17787,,,,,1
i9j0ml6TgJK,Fr andrian Heath Centre,14503,,,,,3
rvY6Idb4l9H,Fremo Medical Centre,18612,,,1,,1
r9V2xNY8rTa,Friends Kiamokama Dispensary,22635,Friends Kiamokama Dispensary,,1,,1
MtyqCJbVmg8,Fuchani Dispensary,31534,,,,,2
Lm8o853knxl,Fundi Issa Dispensary,11379,,,1,,1
vb01HlZpni0,Furaha Medical Care,22147,Private Medical Clinic,,,,3
NhqbIqtewwY,Future Life Community Nursing  and Maternity Home,17522,,,,,1
bXLbJWoxw1d,G.K Prison Dispensary Yatta,23625,In yatta Prison compound,,,,1
hWx00ZhftP9,Gacharage Dispensary,10190,,,,,1
lHuuAQl16rT,Gachororo Health Centre,18608,,1,2,,20
tCDh3rEYIVj,Gachuriri Dispensary,12023,,,,,4
uApzQdVcBRc,Gahaleni Dispensary,11380,,,,,2
fvnBMGJT2Sb,Gaichanjiru Hospital,10199,,,,,1
UalYYHsdiiR,Gakira Family Health Care,23365,,,,,1
LlARqEsp8AO,Gakira Family Healthcare limited,26991,,,,,1
N77UkGoiY0M,Gakoe Health Centre,10202,Minstry of Health,,2,1,7
ZAh3Z32unZx,Gakoromone Dispensary,12027,,,,,1
IySCUcTUhjm,Galilee Hospital,22065,,,,,1
LcbKtIpSxFP,Ganda Dispensary,11382,,,1,,6
cYrHrtCUWDR,Gandini Dispensary (Kinango),21256,Along kinango mazeras road,,,,2
WEHmigPlvwu,Ganjoni Hospital,24141,,,,,4
OZzaTu0NyK2,Ganze Health Centre,11383,,,,,8
SqO6tJoEOCP,Garashi Dispensary,11384,,,,,1
eOwcPUHIpgE,Garissa Level 5 Teaching and Referral Hospital,13346,,1,3,,18
omgVSPJzHLT,Gataka Health Center,25961,,,1,,1
UomBzYdaa0B,Gatangara Dispensary,10208,,,,,1
JfanPlPxNKE,Gategi Health Centre,16463,Health centre,,1,,6
QSBdWpfSrPb,Gatei Dispensary,10210,,,,,3
ZcNH8iNquIL,Gathambi Health Centre,10213,,,,,1
d7LVe4aXZQQ,Gathanji Dispensary,17058,,,,,1
PgHCaUq49vN,Gatheru Dispensary,10216,,,1,,1
ehpr8xAbdML,Gathigiriri Health Centre,10217,Near GK prisons Gathigiriri,,1,,3
y36f2ZPPyjg,Gatiko Dispensary,29351,,,,1,
AagM6cS5ef7,Gatimbi Health Centre,12031,,,,,1
RPNI2yciVPb,Gatimu Health Centre,18781,,,,,1
WWGEdn2AVku,Gatina Dispensary(Dagoretti),27196,,,9,,20
h1ZhIZUH0Vp,Gatitu Dispensary,10222,,,,,1
OyE948LMxlg,Gatukuyu Wendani Community Hospital,23904,,,,,4
WrZYJH3y1Fh,Gatundu Level 5 Hospital,10233,,1,2,1,19
o4R31bP4OSL,Gatundu Merironi Dispensary,32015,,,2,,2
HgEHx7HWGXS,Gatunduri Dispensary,12033,,,,,2
gTC4YDSbhb6,Gatunga Model Health Centre,18080,,,1,,4
dUO3G9O89X7,Gatunyu Dispensary,10234,,,,,3
KKndGuWgx1c,Gatura Healh Centre,10236,,,,,5
adNHBMYg2bY,Gatuta Dispensary,27322,,,,,1
SuMdcd5YAWi,Gatuto Dispensary,16386,off Kutus/Kagio Road,,,1,1
hgw0Ex2Rcme,Gatwe Health Centre,10239,Gatwe market-off Kerugoya/Karatina Road,,,,2
FkB4lcoQfnz,Gede Sub County Hospital,11387,,,3,,12
FRCpdcj6qow,Gekano Health Centre,13557,,,,,2
WvUvCMh9l26,General Medical Clinic,16571,,,,,1
Tkx50aupWkz,George Mudenyo Kadima Nasio Trust (Mumias West),22949,It is situated along Bukaya Musanda raod in mumias west Sub County,2,,,1
MzCL8JfJrqp,Gertrude Komarock Clinic,17725,,,,,1
hLbDRJpWwiR,Gesabakwa Health Centre,13558,,,,,4
SLYEU6SItMd,Gesima Sub County Hospital,13559,,,,,4
beSdaPe8i3e,Gesuguri Dispensary,13560,,,1,,2
tJVeZDtaAeT,Gesure Health Centre (Manga),13562,,,,,1
EaAOtVISoLP,Gesusu Sub-County Referral Hospital,13564,,,3,,11
La4FiUTG0Ed,Geta Bush Health Centre,10244,,,1,,2
mC4qkTGiah3,Geta Forest Dispensary,10245,,,,,1
TjAizB1Q3zr,Getare Health Centre,13566,,,,,6
oTQ1D3GoQBi,Getarwet Dispensary,14507,,,,,1
UcO78fKkZc3,Getembe Dispensary,25027,,,,,2
u6wKqx9dqe2,Getembe Hospital,13567,,,,,2
Sqb2l0ZjprN,Geteni Dispensary,26490,,,,,3
MintNslbKTX,Gethsemane Garden Mission (Mbita),20102,,,,,5
r8x9znndcXD,Getiesi Health Centre,16281,,,,,1
skdrXoGVbgo,Getontira Clinic,13571,,,,,1
wt82nplSMIL,Ghazi Dispensary,11390,,,,,1
pti6tGt9YYZ,Giaki Health Centre,12036,,,1,,4
EXU7tMZZkA3,Giantunda Dispensary,13573,,,1,,4
eRAOFBm0YHQ,Giatutu Dispensary,17421,,,,,1
usTayxObuBo,Gichagi Dispensary,27186,,,4,,16
JWSHmk8XVoB,Gichiche Health Centre,10249,,,,,6
suwoJuHlA2b,Gichira Health Centre,10251,,,,,2
HdbugkfTIcQ,Gichuru Dispensary,10252,,,3,,7
jC3YGAZ9GXB,Gikambura Health Centre,20860,,,,,6
zTKETkHsEA2,Gikoe Dispensary,10253,,,1,,1
pUcL23obDlW,Gikono Dispensary,16171,,,1,,5
oIIfRe93pdC,Gikui Health Centre,10256,,,,,1
eDacu7icvAw,Gilgil Astu Dispensary,14508,,,,,1
KGJlOICvFl8,Gilgil Center of Hope (Hope World Wide Kenya),20683,,,,,3
v185ouPmgIT,Gilgil Health Care Medical Centre,24439,Private Health Clinic,,,,2
dx6XwBdUB2q,Gilgil Sub County Hospital,14510,Sub County Hospital,,3,,18
AWhhHZkkRip,Gionsaria Health Centre,19916,,,,,1
xa8ZMxIarv6,Giribe Dispensary,13576,,,1,,10
ngqqwzhuvjL,Gita Sub County Hospital,13647,,,1,,8
dJb4wCemtCW,Gitaraka Dispensary,17843,Dispensary,,,,1
uM8n4TH9L8O,Gitare Dispensary,28698,,,,,1
xPIE2QUchap,Gitare Health Centre (Gatundu),10257,,,,,4
SZgImyX0tp9,Githiga Health Centre,10263,,,,,1
M2BkdXX873O,Githiriga Dispensary,16394,,,,,1
bGUaAhlsRqp,Githogoro Runda Baptist Clinic (Getrudes Nairobi),18887,a facility in Githogoro.,,,2,14
XFmkizVkihs,Githongo Sub-County Hospital,12041,,,,,2
oau2wlYZlO3,Githumu Hospital,10267,,,1,,10
rg99yzExwVO,Githunguri Health Centre,10269,,,3,,16
oywqPDtNrTb,Githunguri Health Centre (Ruiru),16748,,,4,,4
wZIjfTwwfbr,Githunguri Heathwatch Clinic,10271,,1,,,
gPcV4qc8ja2,Githurai 44 Health Centre,29630,,,3,,16
J05GfbGgAb7,Gituamba Community Dispensary,17837,Ministry of Health,,,,1
iJawbrhepIT,Gituamba Dispensary,24264,,,1,,
uY5qqY2nhPt,Gitugi Health Centre (Muranga North),10279,,,,,1
S1wCQfiVuTd,GITURA DISPENSARY,22847,,,,,2
E8oBZM3n8cY,Gituru Dispensary,18962,,,,,1
r9fsGBlOXE2,Gitwamba Health Centre,14512,,,,,5
LeATvvxVKcP,Givudimbuli Health Centre,15889,,,1,,2
hcWdD9jFQQf,GK Farm Prisons Health Centre,14514,,,2,,18
VXVnMudPuzv,GK Prison Dispensary,10189,,,,,2
VCqt9ZTuNPR,GK Prison Dispensary ( Bungoma South),15890,,,1,,7
gjWuUkoUd6U,GK Prison Dispensary (Embu),12045,,,1,,6
NJapubNuu8k,GK Prison Dispensary (Garissa),13350,,,,,1
yfWjbUihHoJ,GK Prison Dispensary (Kingongo),10286,,,,,4
TEyDNmHl2pa,GK Prison Dispensary (Kitui),12047,,,,,2
kY6qpwJgtAj,GK Prison Dispensary (Machakos),12048,,,1,,6
yfk4umSvayX,GK Prison Dispensary (Magarini),11394,,,1,,9
IWJbY68Aqac,GK Prison Dispensary (Murang'a),10287,,,,,2
EiBCq9lN9VE,GK Prison Dispensary (Nandi Central),14518,,,,,6
jYf5PccXzRk,GK Prison Dispensary (Thika),10289,,,,,2
OdRWwXiMgZo,GK Prison Health Centre (Homa Bay),13578,,,,,11
aLtQReV8YLe,GK Prison(Kerugoya),21503,Kerugoya prison next to Kerugoya County Hospital,,,,3
X7Y1EhqSJLb,GK Prisons Dispensary,14523,,,,,2
kIKjM5pMTat,GK Prisons Dispensary (Busia),15891,,,2,,15
yanWZpO1esQ,GK Prisons Dispensary (Kakamega Central),15892,,,1,,13
zPB3UE70MQi,GK Prisons Dispensary (Kericho),14521,,,1,,11
g4uByH1jMGl,GK Prisons Dispensary (Kiambu Town),10290,,,,,4
XdmsyjZT77E,GK Prisons Dispensary (Kibos),13579,,,1,,13
W0BuuoXoI0y,GK Prisons Dispensary (Laikipia East),14522,,,1,,6
UsIVtgz5zw7,GK Remand Prison Dispensary,14528,,,1,,2
YGTBDdMQ9vr,Globe Medical Centre,20533,A medical centre situated at Mairo-Inya shopping centre next to samax filiiing station,,,,1
Vx2cKs1FhBg,Glory Health Clinic,18613,,,,,1
j5lTkz5ovZG,Glory Medical Clinic,10291,,,,,1
APRSsUJAVrP,Gobei Health Centre,13581,"level 3 facilty in maranda division. By the road Bondo to Kisumu road,just 6 kms from Bondo Town.",,2,,9
G44EhGVs2FX,God Jope Dispensary,13582,situated in Suba East Division,,1,1,7
Dp9uga9zfqH,God Kwer Dispensary,13583,Situated in Suba West division and its a GOK Facility,,2,,16
IlPlC1wPLOt,Godber Health Centre,13584,,,1,,2
kdWojQWcVGb,Godbura Health Centre,13585,,,1,,2
qBmMdCCXus8,Godo Dispensary,11400,,,,,3
gayIyTyhzca,GOK Prison Siaya,18264,,,3,,10
FCnnHgdbtY0,GOK Rumuruti Prisons Dispensary,16676,,,,,1
P0NgegX5uEG,Goldstar Drop In Centre,23412,,,,,3
cYaFE45Lg4V,Golgotha Medical Centre,24452,,,,,1
KRC06WZHgOL,Gongo Health Centre,13587,,,1,,5
AzOEyXz9Alb,Gongo Health Centre,17516,,,,,2
hRvE0UfQ1LZ,Gongoni Health Centre,11401,,,,,12
DPmbpX7Npsj,Good Shepherd Ang'iya,17747,,,,,3
rmnpXn7cV2P,Good Shepherd Dispensary,12960,,,,,2
iKKC6ikYtKa,Goodwill Cottage Hospital,26719,,,,,1
va5acmhsWyX,Gorgor Dispensary,14531,,,1,,
XlWkXi5IeMS,Gosebe Dispensary,20959,Its a facility within Gokeharaka ward next to tisinye Health Centre.,,1,,4
ECx3kHWPkD0,Goseta Dispensary,14532,,,2,,8
DVnHWnAZOjR,Got Agulu Sub-District Hospital,13588,within Usigu Division,,2,,7
H8zbf1TS3qy,Got Kachola Dispensary,19928,,,,,2
Wd7fRx7kIDT,Got Kojowi Health Centre,13589,,,,,4
LUgqcwSvTS4,Got Matar Health Centre,13590,level 3 facility in usigu division,,,,6
M6pRVexaXwC,Got Osimbo Dispensary,18321,,,3,,6
S3nhzDadRjF,Got Oyaro Health Centre,13592,,,,,1
dDUH3HhyOUc,Got Regea Dispensary,17520,,,,,3
K1YU8aOlHWu,Gotani Model Health Centre,11404,,,1,,10
tpE3vgau3jI,Gotichaki Health Centre,13593,,,1,,3
Bou0s5L5qz9,Grace Home Medical Clinic Banana,22346,clinic,,,,1
zPp0JDaNPBc,Grace Medical Clinic,18288,,,,,1
xqOEovNCpxV,Gracepark Medical Centre,25371,,,,,6
OqCFB5g4scd,Grassland Dispensary,14536,,,,,3
xOzIPNpciWa,Grassroot Community Health Services,28583,,,,,3
yNBA0yT1fGT,Green Park  Dispensary (Railways),26925,,,,,1
vH4EIxUQ2AN,Greenspan Medical Centre,23527,,,,,1
LRl9e3LWbrt,GSU Dispensary,16413,,,,,7
cXOzqJrz5Lq,Gsu Dispensary (Kabarak),14539,,,,,1
PSanwOd34Gy,Gsu Dispensary (Kibera),12961,,,,,2
jvkgnDbjPig,GSU Dispensary (Ruiru),10304,,,2,,9
TKkmK0wUz7B,Gsu Hq Dispensary (Ruaraka),12963,,,,,5
DWLpIjoOcan,GSU Training School,12962,,,,,10
P79OB9ssNJH,Guardian Hospital,28900,,,,,7
k49pJXFRMBa,Gucha Maternity and Nursing Home,13595,,,,,4
Y87ZGSAcivK,Gucha Sub County Referral Hospital,13594,,,4,,23
K7r7jBykuLt,Guru Nanak Hospital,12965,,,,,3
JQs30rAkjMP,Guyana Medical Clinic,14542,,,,,1
SKn6Zudn13D,Halisi Family Hospital,25163,,,,,6
zwnu6Pa5gLi,Hamisi Sub County Hospital,15894,,1,,,7
zYY0B4vnqpE,Hamundia Health Centre,16753,,,,,1
H6s6jXZ9C8F,Hamza Medical Centre,19472,Medical Clinic,,,,3
wq20Yqs0Xbz,Hapa Kenya Medical Clinic (Voi),26796,,,,,2
QjZjBslwxVX,Hapakenya Medical Clinic,25718,,,,,3
X64YplThOjm,Harambee Health Centre,21491,,,,,2
M7eu304yB1N,Hawi Family Hospital,24237,,,3,3,7
GrfDMFELnO0,Hawinga Health Centre,13600,,,1,,2
Qv6w7aSwUm7,Healpark Medical Solutions,26923,,,,,1
uSYMPUEZqiD,Health Wave Hospital,27306,,,,,2
sZNadfmGApR,Hekima Dispensary,14545,,,,,2
UsDWLB6loJT,Hema Hospital,13603,,,,,4
R6tG0IzAhpv,Heni Health Centre,10312,,,,,3
EzxVo53cCsh,Highfield hospital,29276,,,,,2
UQxxcq2jej9,Highway Diagnostic Clinic,23830,,,,,1
xKMnsppaRLE,Hola County Referral Hospital,11411,,,2,,10
slfjISJHhAh,Holani Medical Clinic,23672,,,,,3
wgZ2mHu3aX9,Holo Dispensary,17118,Dispensary,,,,2
qkYZRMyJMWG,Holsoms Annex Keumbu,27027,,,,,4
GfEJptgFb4q,Holsoms Maternity & Nursing Home,22795,,,1,,1
g9QbZTBk5sC,Holy Cross Dispensary,10321,,,,,5
CmIEKqOW8Lg,Holy family Catholic Hospital (Githunguri),19963,,,,,8
